,aldh1a2_4mer_apo.1,aldh1a2_4mer_apo.2,aldh1a2_4mer_apo.3,aldh1a2_4mer_apo_lig.1,aldh1a2_4mer_apo_lig.2,aldh1a2_4mer_apo_lig.3,aldh1a2_4mer_nad.1,aldh1a2_4mer_nad.2,aldh1a2_4mer_nad.3,aldh1a2_4mer_nad_lig.1,aldh1a2_4mer_nad_lig.2,aldh1a2_4mer_nad_lig.3,aldh2_4mer_apo.1,aldh2_4mer_apo.2,aldh2_4mer_apo.3,aldh2_4mer_apo_lig.1,aldh2_4mer_apo_lig.2,aldh2_4mer_apo_lig.3,aldh2_4mer_nad.1,aldh2_4mer_nad.2,aldh2_4mer_nad.3,aldh2_4mer_nad_lig.1,aldh2_4mer_nad_lig.2,aldh2_4mer_nad_lig.3
10,397.54749999999996,379.135,283.82250000000005,541.9425,567.5400000000001,564.9999999999999,471.58000000000004,359.585,479.7925,511.76,465.48,508.4625,444.69,391.5525,273.78,627.2625,560.195,504.25250000000005,327.9425,350.0825,398.6275,555.4975000000001,477.3075,514.9975
11,390.095,362.3425,280.26250000000005,530.4425000000001,566.405,592.815,438.3725,373.14,489.40000000000003,485.0275,483.7325,552.26,408.35,355.81000000000006,299.4325,622.5675,553.5525,538.3249999999999,350.3525000000001,383.94,396.3625,532.495,482.54499999999996,502.0374999999999
12,399.5475,433.50999999999993,287.495,548.6925,581.47,527.6325,457.7025,352.94500000000005,498.0425,527.96,479.73749999999995,521.9625,420.0625,387.56,330.695,638.0625,560.52,504.7925,364.935,358.34499999999997,415.0425,552.04,500.20250000000004,510.08250000000004
13,428.59749999999997,391.985,270.21750000000003,560.9525000000001,561.4375,565.595,428.86749999999995,396.90250000000003,431.355,540.0550000000001,442.6925,538.5425,420.12249999999995,381.72749999999996,363.20500000000004,649.78,539.8925,513.3225,337.555,407.1625,425.89750000000004,546.75,527.6324999999999,548.9649999999999
14,488.05249999999995,334.9075,314.2825,593.1375,597.885,593.2425000000001,491.885,387.5025,381.51,544.97,465.535,543.9950000000001,422.55,385.02,379.7325,582.445,539.7325,498.5275,358.02,357.53499999999997,448.52250000000004,565.0025,488.325,520.5625
15,439.23749999999995,369.5775,328.1075,555.6075,634.9875,573.3199999999999,452.1925,313.0925,428.91999999999996,518.94,478.22249999999997,508.4625,425.25,407.7025,366.22249999999997,578.61,560.9524999999999,546.3175,375.2475,406.565,481.0325,573.75,538.7025,494.1
16,483.03249999999997,346.5125,291.65500000000003,540.7574999999999,528.93,537.515,445.50250000000005,364.985,407.755,517.1574999999999,456.465,570.295,433.7325,430.6475,345.7075,555.1199999999999,604.3675000000001,505.0575,401.87,398.8975,377.13249999999994,594.105,528.4425,505.33250000000004
17,474.93,367.63250000000005,277.8825,570.89,550.1,551.665,500.4725,384.75,454.8425,498.52750000000003,463.8075,535.3575,444.905,399.4925,382.8075,611.01,570.835,466.6125,392.74499999999995,387.1775,407.70000000000005,585.4125,492.2125,471.80000000000007
18,472.555,384.155,298.51,586.3874999999999,572.3475,584.335,417.2025,433.9425,413.315,541.6175000000001,476.55,535.0849999999999,384.53499999999997,356.8825,354.56499999999994,553.12,555.5550000000001,493.78,362.9375,395.495,456.195,567.1075,522.3975,520.02
19,490.43,334.2025,339.7675,534.49,563.2724999999999,559.765,474.445,387.77250000000004,462.345,536.3275,461.10249999999996,531.2525,414.235,390.03999999999996,344.7925,585.685,554.2025,496.58250000000004,368.01,364.07,455.4375,586.5475,566.8375000000001,467.8025
